Title,Steam_id,has_achievements,completed_achievements,total_achievements
198X,1086010,Y,0,14
20 Minutes Till Dawn,1966900,Y,0,34
5D Chess With Multiverse Time Travel,1349230,N,N/A,N/A
ACE COMBAT™7: SKIES UNKNOWN,502500,Y,0,49
Aeve:Zero Gravity,788510,Y,0,11
Age of Empires: Definitive Edition,1017900,Y,0,44
Agents of Mayhem,304530,Y,0,49
AI War 2,573410,Y,0,255
Aimlabs,714010,Y,2,100
Alien Spidy,207000,Y,0,25
Alien Swarm: Reactive Drop,563560,Y,21,198
Among Us,945360,Y,11,33
ANIME REDEMPTION,1192610,Y,13,13
APE OUT,447150,Y,0,23
ARK: Survival Evolved,346110,Y,0,32
ARK: Survival Of The Fittest,407530,N,N/A,N/A
Assassin's Creed IV Black Flag,242050,Y,0,60
Assault Android Cactus,250110,Y,0,29
Autonauts,979120,Y,1,26
Banana Hell: Mountain of Madness,2068520,N,N/A,N/A
The Bard's Tale IV: Director's Cut,1091980,Y,0,59
The Bard's Tale Trilogy,843260,Y,0,47
Batman™: Arkham Origins,209000,Y,0,60
Battle of Frigates,711320,Y,0,51
Battlefield™ V,1238810,Y,0,21
Besiege,346010,Y,2,54
BioShock,7670,N,N/A,N/A
BioShock Remastered,409710,Y,0,65
BioShock 2,8850,Y,0,68
BioShock 2 Remastered,409720,Y,0,53
BioShock Infinite,8870,Y,0,80
Black Desert,582660,N,N/A,N/A
Bloons TD 6,960090,Y,46,156
Bloons TD Battles 2,1276390,N,N/A,N/A
Borderlands 2,49520,Y,8,75
Broken Age,232790,Y,0,45
Brothers - A Tale of Two Sons,225080,Y,0,12
Capitalism 2,638200,N,N/A,N/A
Celeste,504230,Y,0,32
Company of Heroes 2,231430,Y,0,452
Content Warning,2881650,Y,0,48
Crawl,293780,Y,0,45
Crusader Kings II,203770,Y,1,161
Crusader Kings III,1158310,Y,0,188
Crypt of the NecroDancer,247080,Y,0,61
Cuphead,268910,Y,0,42
Danganronpa 2: Goodbye Despair,413420,Y,15,47
Danganronpa V3: Killing Harmony,567640,Y,19,41
Danganronpa: Trigger Happy Havoc,413410,Y,12,38
DARK SOULS™ II: Scholar of the First Sin,335300,Y,18,38
DARK SOULS™ III,374320,Y,43,43
DARK SOULS™: REMASTERED,570940,Y,20,41
Darkest Dungeon®,262060,Y,0,120
Darksiders,50620,Y,0,43
Darksiders II Deathinitive Edition,388410,Y,0,50
Darksiders Warmastered Edition,462780,Y,0,43
Darkwood,274520,Y,0,15
Dead Rising 4,543460,Y,0,104
Death Road to Canada,252610,Y,0,72
Death Squared,471810,Y,0,25
Death's Gambit: Afterlife,356650,Y,0,43
The Deed: Dynasty,460960,Y,0,53
Deep Rock Galactic,548430,Y,8,69
Despotism 3k,699920,Y,0,30
Deus Ex: Game of the Year Edition,6910,N,N/A,N/A
Deus Ex: Invisible War,6920,N,N/A,N/A
Deus Ex: Human Revolution - Director's Cut,238010,Y,0,59
Deus Ex: The Fall,258180,Y,0,28
Deus Ex: Mankind Divided™,337000,Y,0,81
Devil May Cry 4 Special Edition,329050,Y,0,42
Devil May Cry 5,601150,Y,0,55
Devil May Cry HD Collection,631510,Y,0,99
Dig or Die,315460,Y,0,18
Dishonored,205100,Y,0,80
Dishonored 2,403640,Y,0,50
Doki Doki Literature Club,698780,N,N/A,N/A
Don't Starve,219740,N,N/A,N/A
Don't Starve Together,322330,N,N/A,N/A
DOOM,379720,Y,0,54
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",409160,Y,3,6
Dragon's Dogma: Dark Arisen,367500,Y,0,59
Driver Booster for Steam,920490,N,N/A,N/A
Dropsy,274350,Y,0,30
DUCATI - 90th Anniversary,456780,Y,0,22
Duck Game,312530,Y,0,18
ELDEN RING,1245620,Y,0,42
ELDEN RING NIGHTREIGN,2622380,Y,32,37
Enter the Gungeon,311690,Y,0,54
The Escapists,298630,Y,0,37
Etherborn,812160,Y,0,13
Europa Universalis III,25800,N,N/A,N/A
Europa Universalis IV,236850,Y,167,373
EXAPUNKS,716490,Y,0,16
Fahrenheit: Indigo Prophecy Remastered,312840,Y,0,17
Fallout,38400,N,N/A,N/A
Fallout 2,38410,N,N/A,N/A
Fallout Tactics,38420,N,N/A,N/A
Fallout: New Vegas,22380,Y,41,75
Feather,545040,Y,0,1
FEZ,224760,Y,0,12
FINAL FANTASY VII,3837340,Y,0,31
FINAL FANTASY VII (2013),39140,Y,0,36
A Fistful of Gun,229810,Y,0,13
Flinthook,401710,Y,0,37
FRAMED Collection,322450,Y,0,18
Frog Detective 1: The Haunted Island,963000,Y,0,6
FTL: Faster Than Light,212680,Y,0,51
Furi,423230,Y,0,33
The Gardens Between,600990,Y,0,17
Garfield Kart - Furious Racing,1085510,Y,0,14
Garry's Mod,4000,Y,4,29
Gato Roboto,916730,Y,0,12
GNOG,290510,Y,0,20
Gods Will Be Watching,274290,Y,0,35
A Good Snowman Is Hard To Build,316610,Y,0,5
GRIS,683320,Y,8,17
GUNTOUCHABLES,2543510,Y,0,79
Hacknet,365450,Y,0,11
Hades,1145360,Y,0,49
Half-Life 2,220,Y,0,69
Half-Life 2: Deathmatch,320,N,N/A,N/A
Half-Life Deathmatch: Source,360,N,N/A,N/A
Hand of Fate 2,456670,Y,0,99
A Hat in Time,253230,Y,0,46
Hearts of Iron IV,394360,Y,0,293
Heat Signature,268130,Y,0,70
Heavy Bullets,297120,Y,0,17
Helltaker,1289310,Y,7,10
HITMAN™ 2,863550,Y,0,146
HIVESWAP: ACT 1,623940,Y,0,44
Hollow Knight,367520,Y,0,63
Hotline Miami,219150,Y,0,35
Hotline Miami 2: Wrong Number,274170,Y,0,29
House Flipper,613100,Y,0,96
Initial Drift Online,1456200,Y,0,36
Into the Breach,590380,Y,0,70
"Invisible, Inc.",243970,Y,0,23
The Jackbox Party Pack 2,397460,Y,3,20
Jet Set Radio,205950,Y,0,30
Katana ZERO,460950,Y,12,22
Killing Floor 2,232090,Y,0,307
Kim Jong-Boom,711070,Y,5,100
Left 4 Dead,500,Y,0,73
Left 4 Dead 2,550,Y,5,101
Lethal Company,1966720,N,N/A,N/A
Little Nightmares,424840,Y,0,22
Little Nightmares Enhanced Edition,2149010,Y,0,22
Long Live Santa!,763410,N,N/A,N/A
LostWinds,447780,Y,0,11
Machinarium,40700,Y,0,12
Magicka,42910,Y,0,88
Make a word!,703870,Y,0,309
Manual Samuel - Last Tuesday Edition,504130,Y,0,36
Manyland,342280,Y,11,20
March of the Eagles,227760,N,N/A,N/A
Mega Man 11,742300,Y,0,50
Mega Man Legacy Collection,363440,Y,0,24
Mega Man X Legacy Collection,743890,Y,0,52
The Messenger,764790,Y,0,48
METAL GEAR SOLID V: GROUND ZEROES,311340,Y,0,16
METAL GEAR SOLID V: THE PHANTOM PAIN,287700,Y,0,42
Metro 2033 Redux,286690,Y,0,49
Metro: Last Light Complete Edition,43160,Y,0,70
Metro: Last Light Redux,287390,Y,0,49
Mini Metro,287980,Y,0,73
MOLEK-SYNTEZ,1168880,Y,0,6
Monster Prom,743450,Y,7,52
Monster Prom 2: Monster Camp,1140270,Y,0,49
A Mortician's Tale,578720,Y,0,3
Mother Russia Bleeds,361300,Y,0,33
Mr Shifty,489140,Y,0,14
Mr.Jezko,796640,Y,0,1113
My Friend Pedro,557340,Y,0,30
NieR:Automata™,524220,Y,0,47
No Lights,682910,Y,0,27
NOT A HERO,274270,Y,0,17
Okhlos: Omega,400180,Y,0,38
OlliOlli,274250,Y,0,12
OlliOlli2: Welcome to Olliwood,365660,Y,0,27
OmniBus,415740,Y,0,37
Opus Magnum,558990,Y,0,6
Oxygen Not Included,457140,Y,1,51
PAC-MAN™ CHAMPIONSHIP EDITION 2,441380,Y,0,18
Paladins,444090,Y,17,58
Paper Fire Rookie,698790,Y,0,18
Party Hard,356570,Y,0,27
Pikuniku,572890,Y,0,14
Planet Coaster,493340,Y,0,32
Poly Bridge,367450,Y,0,22
Portal,400,Y,0,15
Portal 2,620,Y,0,51
Psychonauts,3830,Y,0,37
Pyre,462770,Y,0,51
Quest of Dungeons,270050,Y,0,25
Quiplash,351510,Y,0,10
Rebuild 3: Gangs of Deadsville,257170,Y,0,42
The Red Strings Club,589780,Y,0,19
Regular Human Basketball,661940,Y,0,20
Resident Evil,304240,Y,0,44
Resident Evil 0,339340,Y,0,47
Resident Evil Revelations,222480,Y,0,50
Resident Evil Revelations 2,287290,Y,0,43
Reventure,900270,Y,0,101
Rise of Industry,671440,Y,0,27
Rising Dusk,848930,Y,0,20
Risk of Rain 2,632360,Y,0,171
RONIN,274230,Y,0,8
RPG Maker XP,235900,N,N/A,N/A
Sakura Beach 2,407980,N,N/A,N/A
Sakura Fantasy Chapter 1,375200,N,N/A,N/A
Salt,327860,Y,0,29
Satellite Reign,268870,Y,0,40
Sekiro™: Shadows Die Twice,814380,Y,16,34
Sengoku,73210,N,N/A,N/A
Shovel Knight: Specter of Torment,589510,Y,1,20
Silent Hill: Homecoming,19000,N,N/A,N/A
Slay the Spire,646570,Y,38,46
Slay the Spire 2,2868840,N,N/A,N/A
Sniper Elite 3,238090,Y,0,77
SpaceChem,92800,Y,0,20
Speed Brawl,468670,Y,0,59
Splitgate,677620,Y,2,30
Stealth Inc 2,329380,Y,0,12
Stellaris,281990,Y,0,219
Stick Fight: The Game,674940,Y,0,28
The Stillness of the Wind,828900,N,N/A,N/A
Stonemachia,2982610,Y,8,30
Stories: The Path of Destinies,439190,Y,0,37
Street Fighter 30th Anniversary Collection,586200,Y,0,17
Strider,235210,Y,0,30
The Suicide of Rachel Foster,1057750,Y,0,11
Super Hexagon,221640,Y,0,6
Super Time Force Ultra,250700,Y,0,33
SUPERHOT,322500,Y,0,26
SUPERHOT: MIND CONTROL DELETE,690040,Y,0,14
Sven Co-op,225840,N,N/A,N/A
The Swindle,369110,Y,0,15
Terraria,105600,Y,114,137
Territory Idle,1017100,Y,6,100
Thief,239160,Y,0,37
Think of the Children,573600,Y,0,27
This Is the Police,443810,Y,0,10
This Is the Police 2,785740,Y,0,12
Tilt Brush,327140,N,N/A,N/A
tModLoader,1281930,N,N/A,N/A
Tom Clancy's Rainbow Six Siege,359550,Y,0,48
Tom Clancy's Rainbow Six Siege - Test Server,623990,N,N/A,N/A
Total War: SHOGUN 2,34330,Y,1,106
Tower of Guns,266110,Y,0,17
Tropico 4,57690,Y,0,70
Ultimate Custom Night,871720,N,N/A,N/A
Umiro,727760,Y,0,8
Undercroft Warriors,2547140,Y,0,8
Undertale,391540,N,N/A,N/A
Unplagued,3062930,N,N/A,N/A
Victoria II,42960,N,N/A,N/A
Void Bastards,857980,Y,0,24
VRChat,438100,N,N/A,N/A
VVVVVV,70300,Y,0,19
Wallpaper Engine,431960,Y,0,17
War Thunder,236390,Y,1,91
Warframe,230410,Y,189,193
Warhammer: Vermintide 2,552500,Y,0,26
Way of the Passive Fist,625680,Y,0,36
The Witcher 3: Wild Hunt,292030,Y,0,78
The Witness,210970,Y,0,2
Wizard of Legend,445980,Y,0,19
Wolfenstein II: The New Colossus,612880,Y,0,80
World of Goo,22000,Y,0,8
Worms Revolution,200170,Y,0,34
XCOM: Enemy Unknown,200510,Y,0,85
Yakuza 0,638970,Y,0,55
Zombotron,664830,Y,0,8
