Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
198X,1086010,Y,0.0,14.0,Very Positive,"20 Jun, 2019",(600 reviews),Hi-Bit Studios,"['Indie', 'Retro', 'Pixel Graphics', '1980s', 'Arcade', ""Beat 'em up"", 'Great Soundtrack', 'Short', '2D', 'Singleplayer', ""Shoot 'Em Up"", 'Action', 'Story Rich']"
20 Minutes Till Dawn,1966900,Y,0.0,34.0,Very Positive,"8 Jun, 2023","27,666",flanne,"['Action Roguelike', 'Bullet Hell', 'Survival', 'Roguelite', ""Shoot 'Em Up"", 'Horror', 'Top-Down Shooter', 'Combat', 'Pixel Graphics', 'Lovecraftian', 'Singleplayer', 'Casual', 'Strategy', 'Action', 'Bullet Heaven', 'RPG', 'Gun Customization', 'Controller', 'Score Attack', 'Dark Fantasy']"
5D Chess With Multiverse Time Travel,1349230,N,,,Overwhelmingly Positive,"22 Jul, 2020","8,034",Conor Petersen,"['Chess', 'Time Travel', 'Time Manipulation', 'Board Game', 'Difficult', 'Puzzle', 'Multiplayer', 'Turn-Based Strategy', 'Strategy', 'Psychological', 'Turn-Based Tactics', 'Singleplayer', 'PvP', 'Indie', 'Artificial Intelligence', 'Psychedelic', 'Violent', 'Sci-fi', 'Colorful', 'Story Rich']"
ACE COMBAT™7: SKIES UNKNOWN,502500,Y,0.0,49.0,Very Positive,"31 Jan, 2019","45,498",Bandai Namco Entertainment,"['Flight', 'Military', 'War', 'Arcade', 'Shooter', 'Cinematic', '3D', 'Multiplayer', 'PvP', 'Action', 'Simulation', 'First-Person', 'Story Rich', 'Third Person', 'Great Soundtrack', 'Singleplayer', 'Silent Protagonist', 'Sci-fi', 'Realistic', 'VR']"
Aeve:Zero Gravity,788510,Y,0.0,11.0,Mostly Negative,"4 Jul, 1970",(28 reviews),DIG Games,"['Action', 'Indie']"
Age of Empires: Definitive Edition,1017900,Y,0.0,44.0,Very Positive,"19 Aug, 2019","14,178",Xbox Game Studios,"['Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Base Building', 'City Builder', 'Historical', 'Classic', 'Remake', 'Real-Time', 'Medieval', 'Co-op', 'Story Rich', 'Great Soundtrack', 'War', 'Action', 'Isometric', 'Retro', ""1990's"", 'Building']"
Agents of Mayhem,304530,Y,0.0,49.0,Mixed,"15 Aug, 2017","3,256",Deep Silver,"['Action', 'Open World', 'Third Person', 'Singleplayer', 'Comedy', 'Funny', 'Third-Person Shooter', 'Shooter', 'Sexual Content', 'Adventure', 'Superhero', 'Female Protagonist', 'Violent', 'Sci-fi', 'Memes', 'Sandbox', 'Cyberpunk', 'Atmospheric', 'Multiplayer', 'Controller']"
AI War 2,573410,Y,0.0,255.0,Very Positive,"22 Oct, 2019","(1,121 reviews)",Arcen Games,"['4X', 'Grand Strategy', 'Multiplayer', 'Co-op', 'Tower Defense', 'RTS', 'Real Time Tactics', 'Economy', 'Management', 'Military', 'Sci-fi', 'Space', 'War', 'Real-Time', 'Sandbox', 'Strategy', 'Simulation', 'Online Co-Op', 'Tactical', 'Moddable']"
Aimlabs,714010,Y,2.0,100.0,Very Positive,"16 Jun, 2023","136,034",Statespace,"['FPS', 'Free to Play', 'Shooter', 'Simulation', 'Action', 'First-Person', 'Third-Person Shooter', 'Software', 'Score Attack', 'eSports', 'Controller', 'Level Editor', 'Competitive', 'Co-op', 'PvP', 'PvE', 'Education', '3D', 'Sniper', 'Casual']"
Alien Spidy,207000,Y,0.0,25.0,Mixed,"20 Mar, 2013",(41 reviews),Kasedo Games,"['Indie', 'Action', 'Adventure', 'Platformer', 'Singleplayer']"
Alien Swarm: Reactive Drop,563560,Y,21.0,198.0,Very Positive,"20 Apr, 2017","23,662",Reactive Drop Team,"['Twin Stick Shooter', 'PvE', 'Co-op', 'Top-Down Shooter', 'Class-Based', 'Third-Person Shooter', 'Aliens', 'Level Editor', 'Hacking', 'PvP', 'Third Person', 'Shooter', 'Moddable', 'Top-Down', 'First-Person', 'Sci-fi', 'Combat', 'Tactical', 'LGBTQ+', 'Free to Play']"
Among Us,945360,Y,11.0,33.0,Very Positive,"16 Nov, 2018","649,995",Innersloth,"['Multiplayer', 'Social Deduction', 'Online Co-Op', 'Space', 'Survival', '2D', 'Funny', 'Party Game', 'Psychological', 'Co-op', 'Cartoony', 'Local Multiplayer', 'Casual', 'PvP', 'Action', 'Minigames', 'Sci-fi', 'Aliens', 'Colorful', 'Top-Down']"
ANIME REDEMPTION,1192610,Y,13.0,13.0,n/a,n/a,n/a,n/a,n/a
APE OUT,447150,Y,0.0,23.0,Very Positive,"28 Feb, 2019","3,680",Devolver Digital,"['Violent', 'Gore', 'Indie', 'Top-Down', 'Action', 'Fast-Paced', 'Singleplayer', 'Stylized', 'Difficult', ""Beat 'em up"", 'Music', '2D', 'Arcade', 'Top-Down Shooter', 'Music-Based Procedural Generation', 'Atmospheric', 'Casual', 'Soundtrack', 'Surreal', 'Great Soundtrack']"
ARK: Survival Evolved,346110,Y,0.0,32.0,Very Positive,"27 Aug, 2017","581,974",Studio Wildcard,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'Sandbox', 'First-Person', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'Dragons', 'RPG', 'Sci-fi', 'Indie']"
ARK: Survival Of The Fittest,407530,N,,,Mostly Positive,"29 Aug, 2017","4,618",Studio Wildcard,"['Free to Play', 'Survival', 'Dinosaurs', 'Multiplayer', 'Open World', 'Action', 'Adventure', 'Massively Multiplayer', 'PvP', 'Dragons', 'Crafting', 'Early Access', 'RPG', 'First-Person', 'Singleplayer', 'Strategy', 'Exploration', 'Sandbox', 'FPS', 'Indie']"
Assassin's Creed IV Black Flag,242050,Y,0.0,60.0,Very Positive,n/a,"71,704",Ubisoft,"['Pirates', 'Open World', 'Assassins', 'Adventure', 'Action', 'Stealth', 'Parkour', 'Third Person', 'Naval', 'Multiplayer', 'Historical', 'Story Rich', 'Singleplayer', 'Exploration', 'Naval Combat', 'Action-Adventure', 'Atmospheric', 'RPG', 'Action RPG', 'Co-op']"
Assault Android Cactus,250110,Y,0.0,29.0,Very Positive,"23 Sep, 2015","(1,319 reviews)",Witch Beam,"['Bullet Hell', 'Twin Stick Shooter', ""Shoot 'Em Up"", 'Difficult', 'Shooter', 'Female Protagonist', 'Arcade', 'Cute', 'Top-Down', '3D', 'Controller', 'Action', 'Sci-fi', 'Robots', '4 Player Local', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Fast-Paced', 'Multiplayer']"
Autonauts,979120,Y,1.0,26.0,Very Positive,"17 Oct, 2019","3,578",Curve Games,"['Automation', 'Programming', 'Simulation', 'Indie', 'Casual', 'Base Building', 'Colony Sim', 'Crafting', 'Cute', 'Sandbox', 'Resource Management', 'Building', 'Farming Sim', 'Management', 'Agriculture', 'Relaxing', 'Strategy', 'Robots', 'Singleplayer', 'City Builder']"
Banana Hell: Mountain of Madness,2068520,N,,,Positive,"2 May, 2024",(20 reviews),Petriheart,"['Precision Platformer', 'Funny', 'Platformer', '2D Platformer', 'Casual', '2D', 'Strategy', 'Surreal', 'Side Scroller', 'Colorful', 'Hand-drawn', 'Stylized', 'Atmospheric', 'Emotional', 'Dystopian', 'Dark Fantasy', 'Lovecraftian', 'Psychedelic', 'Psychological', 'Dark']"
The Bard's Tale IV: Director's Cut,1091980,Y,0.0,59.0,Mostly Positive,"27 Aug, 2019",(690 reviews),inXile Entertainment,"['RPG', 'Turn-Based', 'Dungeon Crawler', 'Party-Based RPG', 'First-Person', 'Puzzle', 'Fantasy', 'CRPG', 'Singleplayer', 'Turn-Based Combat', 'Character Customization', 'Adventure']"
The Bard's Tale Trilogy,843260,Y,0.0,47.0,Overwhelmingly Positive,"14 Aug, 2018","(1,207 reviews)",inXile Entertainment,"['RPG', 'Dungeon Crawler', 'Classic', 'Grid-Based Movement', 'Fantasy', 'First-Person', 'Old School', 'Singleplayer', 'Party-Based RPG', 'Remake', 'Retro', 'Turn-Based', 'CRPG', '2D', 'Turn-Based Combat']"
Batman™: Arkham Origins,209000,Y,0.0,60.0,Very Positive,"24 Oct, 2013","44,821",Warner Bros. Interactive Entertainment,"['Action', 'Open World', 'Superhero', 'Adventure', 'Stealth', 'Third Person', 'Singleplayer', 'Multiplayer', 'Fighting', ""Beat 'em up"", 'Comic Book', 'Detective', 'Story Rich', 'Atmospheric', 'Action-Adventure', 'Controller', 'Sandbox', 'Third-Person Shooter', 'RPG', 'Co-op']"
Battle of Frigates,711320,Y,0.0,51.0,Mixed,"21 Sep, 2017",(58 reviews),Conglomerate 5,"['Casual', 'Indie', 'Action', 'Adventure', 'Simulation', 'Pirates', '2D', 'Old School', 'Retro', 'Top-Down Shooter', 'Top-Down', 'Shooter']"
Battlefield™ V,1238810,Y,0.0,21.0,Mostly Positive,"9 Nov, 2018","234,797",Electronic Arts,"['FPS', 'Multiplayer', 'Singleplayer', 'World War II', 'Shooter', 'War', 'Military', 'First-Person', 'Massively Multiplayer', 'PvP', 'Combat', 'Open World', 'Historical', 'Action', 'Destruction', 'Battle Royale', 'Atmospheric', 'Violent', 'Sexual Content', 'Female Protagonist']"
Besiege,346010,Y,2.0,54.0,Very Positive,"18 Feb, 2020","47,742",Spiderling Studios,"['Simulation', 'Sandbox', 'Physics', 'Destruction', 'Medieval', 'Building', 'Moddable', 'Multiplayer', 'PvE', 'PvP', 'Puzzle', 'Replay Value', 'Vehicular Combat', 'Level Editor', 'Flight', 'Naval Combat', '3D', 'Dark Humor', 'Strategy', 'Wargame']"
BioShock,7670,N,,,Very Positive,"21 Aug, 2007","25,029",2K,"['FPS', 'Atmospheric', 'Story Rich', 'Action', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'Sci-fi', 'Classic', 'RPG', 'Dystopian', 'Adventure', 'Underwater', 'Immersive', 'Dark', 'Political', 'Great Soundtrack', 'Alternate History']"
BioShock Remastered,409710,Y,0.0,65.0,Very Positive,"15 Sep, 2016","51,664",2K,"['FPS', 'Story Rich', 'Atmospheric', 'Horror', 'Singleplayer', 'First-Person', 'Action', 'Dystopian', 'Shooter', 'Underwater', 'Sci-fi', 'Steampunk', 'Dark', 'Classic', 'Adventure', 'Great Soundtrack', 'Immersive Sim', 'Alternate History', 'RPG', 'Remake']"
BioShock 2,8850,Y,0.0,68.0,Very Positive,"9 Feb, 2010","11,402",2K,"['FPS', 'Action', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Horror', 'First-Person', 'Shooter', 'Steampunk', 'Sci-fi', 'Underwater', 'Dystopian', 'Multiplayer', 'Adventure', 'Immersive', 'RPG', 'Dark', 'Great Soundtrack', 'Philosophical', 'Action RPG']"
BioShock 2 Remastered,409720,Y,0.0,53.0,Mostly Positive,"15 Sep, 2016","23,838",2K,"['FPS', 'Action', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Horror', 'First-Person', 'Shooter', 'Dystopian', 'Sci-fi', 'RPG', 'Steampunk', 'Underwater', 'Adventure', 'Dark', 'Great Soundtrack', 'Alternate History', 'Immersive Sim', 'Remake', 'Multiplayer']"
BioShock Infinite,8870,Y,0.0,80.0,Very Positive,"25 Mar, 2013","109,102",2K,"['Action', 'First-Person', 'Shooter', 'FPS', 'Singleplayer', 'Story Rich', 'RPG', 'Adventure', 'Fantasy', 'Sci-fi', 'Atmospheric', 'Gore', 'Alternate History', 'Dystopian', 'Steampunk', 'Immersive', 'Time Travel', 'Linear', 'Combat', 'Dark']"
Black Desert,582660,N,,,Mostly Positive,"24 May, 2017","62,477",Pearl Abyss,"['Sandbox', 'Action RPG', 'Exploration', 'MMORPG', 'War', 'Medieval', 'Crafting', 'PvP', 'First-Person', 'Action-Adventure', 'Open World', 'Character Customization', 'RPG', 'Strategy', '3D', 'Cooking', 'Fantasy', 'Action', 'Magic', 'Cinematic']"
Bloons TD 6,960090,Y,46.0,156.0,Overwhelmingly Positive,"17 Dec, 2018","345,728",Ninja Kiwi,"['Tower Defense', 'Strategy', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Co-op', 'Family Friendly', 'Casual', '3D', 'Cartoony', 'Sandbox', '2D', 'Great Soundtrack', 'Difficult', 'Touch-Friendly', 'Cute', 'Funny', 'Addictive', 'Survival', 'Action']"
Bloons TD Battles 2,1276390,N,,,Very Positive,"30 Nov, 2021","33,949",Ninja Kiwi,"['Free to Play', 'Tower Defense', 'Multiplayer', 'Competitive', 'Strategy', 'PvP', 'Indie', 'Action', 'Family Friendly', 'Colorful', 'Real Time Tactics', 'Cartoony', 'Tactical', 'Sandbox', '3D', 'Casual', 'Top-Down', 'Character Customization', 'Funny', 'Difficult']"
Borderlands 2,49520,Y,8.0,75.0,Very Positive,"20 Sep, 2012","209,910",2K,"['Loot', 'Shooter', 'Action', 'Multiplayer', 'Co-op', 'Looter Shooter', 'FPS', 'RPG', 'First-Person', 'Funny', 'Comedy', 'Open World', 'Combat', 'Online Co-Op', 'Adventure', 'Action RPG', 'Dark Humor', 'Singleplayer', 'Memes', 'Sci-fi']"
Broken Age,232790,Y,0.0,45.0,Very Positive,"28 Jan, 2014","4,598",Double Fine Productions,"['Point & Click', 'Adventure', 'Story Rich', 'Comedy', 'Indie', 'Funny', 'Singleplayer', 'Great Soundtrack', 'Puzzle', 'Casual', 'Female Protagonist', '2D', 'Classic', 'Retro', 'Sci-fi', 'Episodic', 'Short', 'Escape Room', 'Hand-drawn', 'Touch-Friendly']"
Brothers - A Tale of Two Sons,225080,Y,0.0,12.0,Very Positive,"3 Sep, 2013","33,738",505 Games,"['Adventure', 'Atmospheric', 'Story Rich', 'Controller', 'Indie', 'Emotional', 'Puzzle', 'Short', 'Fantasy', 'Singleplayer', 'Beautiful', 'Great Soundtrack', 'Local Co-Op', 'Multiplayer', 'Action', 'Platformer', 'Third Person', 'Casual', 'Walking Simulator', 'Colorful']"
Capitalism 2,638200,N,,,Very Positive,"17 Dec, 2001",(442 reviews),Enlight Software Limited,"['Economy', 'Simulation', 'Capitalism', 'Management', 'Strategy', 'Indie', 'Villain Protagonist', 'RTS', 'Classic']"
Celeste,504230,Y,0.0,32.0,Overwhelmingly Positive,"25 Jan, 2018","128,887",Maddy Makes Games Inc.,"['Precision Platformer', 'Difficult', 'Great Soundtrack', 'Pixel Graphics', 'Indie', 'Platformer', '2D Platformer', 'Female Protagonist', 'Singleplayer', '2D', 'Story Rich', 'Adventure', 'Cute', 'Puzzle Platformer', 'LGBTQ+', 'Atmospheric', 'Action', 'Side Scroller', 'Retro', 'Exploration']"
Company of Heroes 2,231430,Y,0.0,452.0,Very Positive,"25 Jun, 2013","68,609",Relic Entertainment,"['Strategy', 'World War II', 'RTS', 'Multiplayer', 'Tactical', 'War', 'Historical', 'Military', 'Singleplayer', 'Co-op', 'Online Co-Op', 'Base Building', 'Tanks', 'Real-Time', 'Action', 'Real-Time with Pause', 'Atmospheric', 'Simulation', 'Great Soundtrack', 'Adventure']"
Content Warning,2881650,Y,0.0,48.0,Very Positive,"1 Apr, 2024","70,356",Evil Landfall?,"['Horror', 'Online Co-Op', 'Procedural Generation', 'Exploration', 'Action Roguelike', 'Multiplayer', 'Comedy', 'Physics', 'Co-op', 'Funny', 'First-Person', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Post-apocalyptic', 'Adventure', '3D', 'Time Management', 'Investigation', 'Mystery']"
Crawl,293780,Y,0.0,45.0,Overwhelmingly Positive,"11 Apr, 2017","5,596",Powerhoof,"['Pixel Graphics', 'Dungeon Crawler', 'Local Multiplayer', '4 Player Local', 'Action Roguelike', 'Indie', 'Local Co-Op', 'Action', 'Multiplayer', 'Roguelike', 'RPG', 'Lovecraftian', '2D', 'Great Soundtrack', 'Co-op', 'Fantasy', 'Gore', 'Singleplayer', 'Horror', 'Arcade']"
Crusader Kings II,203770,Y,1.0,161.0,Very Positive,"14 Feb, 2012","73,762",Paradox Interactive,"['Grand Strategy', 'Strategy', 'Medieval', 'Historical', 'Political Sim', 'Simulation', 'RPG', 'Sandbox', 'Multiplayer', 'Politics', 'Diplomacy', 'Singleplayer', 'Replay Value', 'Real-Time with Pause', 'Moddable', 'Free to Play', 'Political', 'Character Customization', 'RTS', 'Great Soundtrack']"
Crusader Kings III,1158310,Y,0.0,188.0,Very Positive,"1 Sep, 2020","92,964",Paradox Interactive,"['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'Life Sim', 'Sandbox', 'Choices Matter', 'RTS', 'War', 'Singleplayer', 'Economy', 'Political', 'Multiplayer', 'Moddable', '4X', 'Real-Time with Pause']"
Crypt of the NecroDancer,247080,Y,0.0,61.0,Overwhelmingly Positive,"23 Apr, 2015","23,487",Brace Yourself Games,"['Rhythm', 'Roguelike', 'Great Soundtrack', 'Pixel Graphics', 'Dungeon Crawler', 'Indie', 'Difficult', 'Female Protagonist', 'Music', 'Local Co-Op', 'RPG', '2D', 'Action', 'Roguelite', 'Procedural Generation', 'Singleplayer', 'Fantasy', 'Co-op', 'Adventure', 'Retro']"
Cuphead,268910,Y,0.0,42.0,Overwhelmingly Positive,"29 Sep, 2017","194,013",Studio MDHR Entertainment Inc.,"['Difficult', 'Cartoon', 'Co-op', 'Platformer', 'Local Co-Op', 'Great Soundtrack', 'Multiplayer', '2D', 'Indie', 'Hand-drawn', 'Cartoony', 'Bullet Hell', 'Retro', 'Action', ""Shoot 'Em Up"", 'Singleplayer', 'Side Scroller', 'Souls-like', 'Colorful', 'Funny']"
Danganronpa 2: Goodbye Despair,413420,Y,15.0,47.0,Overwhelmingly Positive,"18 Apr, 2016","30,216","Spike Chunsoft Co., Ltd.","['Anime', 'Detective', 'Visual Novel', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Dark Comedy', 'Puzzle', 'Horror', 'Atmospheric', 'Dark', 'Comedy', 'Dating Sim', 'Funny', 'Memes', 'Walking Simulator', 'Sexual Content']"
Danganronpa V3: Killing Harmony,567640,Y,19.0,41.0,Very Positive,"25 Sep, 2017","21,485","Spike Chunsoft Co., Ltd.","['Visual Novel', 'Detective', 'Female Protagonist', 'Anime', 'Story Rich', 'Mystery', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Dark Humor', 'Horror', 'Puzzle', 'Adventure', 'Dark Comedy', 'Dark', 'Atmospheric', 'Funny', 'Dating Sim', 'Memes', 'Comedy']"
Danganronpa: Trigger Happy Havoc,413410,Y,12.0,38.0,Overwhelmingly Positive,"18 Feb, 2016","35,326","Spike Chunsoft Co., Ltd.","['Visual Novel', 'Anime', 'Detective', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Horror', 'Adventure', 'Dark Comedy', 'Dark Humor', 'Puzzle', 'Point & Click', 'Funny', 'Exploration', 'Comedy', 'Survival', 'Action', 'Memes']"
DARK SOULS™ II: Scholar of the First Sin,335300,Y,18.0,38.0,Very Positive,"1 Apr, 2015","82,807",Bandai Namco Entertainment,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Third Person', 'Atmospheric', 'Action RPG', 'Character Customization', 'Co-op', 'Multiplayer', 'Fantasy', 'Adventure', 'Medieval', 'Dark', 'Singleplayer', 'Lore-Rich', 'Story Rich', 'PvP', 'Remake']"
DARK SOULS™ III,374320,Y,43.0,43.0,Very Positive,"11 Apr, 2016","276,767","FromSoftware, Inc.","['Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric', 'Lore-Rich', 'Third Person', 'Exploration', 'Story Rich', 'Action RPG', 'Co-op', 'Great Soundtrack', 'Adventure', 'Action', 'Multiplayer', 'PvP', 'Open World', 'Singleplayer', 'Character Customization', 'Replay Value']"
DARK SOULS™: REMASTERED,570940,Y,20.0,41.0,Very Positive,"23 May, 2018","98,706","FromSoftware, Inc.","['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Dark', 'Fantasy', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Lore-Rich', 'Adventure', 'Multiplayer', 'Exploration', 'Third Person', 'Story Rich', 'Replay Value', 'Character Customization', 'Soundtrack', 'Co-op']"
Darkest Dungeon®,262060,Y,0.0,120.0,Very Positive,"19 Jan, 2016","139,014",Red Hook Studios,"['Turn-Based Combat', 'Dungeon Crawler', 'Dark Fantasy', 'Roguelike', 'RPG', 'Lovecraftian', 'Difficult', 'Turn-Based', 'Singleplayer', 'Perma Death', 'Strategy', 'Atmospheric', 'Dark', 'Indie', '2D', 'Roguelite', 'Horror', 'Gothic', 'Fantasy', 'Great Soundtrack']"
